source target weight
1 16 5.494255733780333
1 26 4.886796721824122
1 28 5.887745290736918
1 32 5.254413064627281
2 16 5.494255733780333
2 17 5.753371322903294
2 18 6.366713320223972
2 20 6.200486867227985
2 24 6.565519367187228
2 25 5.966497087981798
2 27 6.398448439490245
2 29 6.535965229234075
2 31 6.083480567800223
2 34 6.410615858203394
2 35 5.04771919337418
3 17 5.753371322903294
4 18 6.366713320223972
5 19 6.271969327148697
5 21 6.349760417888773
5 22 5.6956844087142215
6 19 6.271969327148697
6 26 4.886796721824122
6 29 6.535965229234075
6 30 6.497805641939984
6 33 6.360190654234595
7 20 6.200486867227985
8 21 6.349760417888773
8 32 5.254413064627281
8 33 6.360190654234595
9 23 1.0
10 23 1.0
10 34 6.410615858203394
11 24 6.565519367187228
12 25 5.966497087981798
13 27 6.398448439490245
13 28 5.887745290736918
14 31 6.083480567800223
15 35 5.04771919337418
16 6 5.494255733780333
16 36 5.494255733780333
17 6 5.753371322903294
18 3 6.366713320223972
18 6 6.366713320223972
18 9 6.366713320223972
19 7 6.271969327148697
19 36 6.271969327148697
20 2 6.122246743022307
20 4 6.122246743022307
20 5 6.278726991433664
20 9 6.200486867227985
21 4 6.349760417888773
21 6 6.349760417888773
21 10 6.349760417888773
22 4 5.780295386768131
22 6 5.611073430660313
23 37 1.0
24 12 6.565519367187228
25 12 5.966497087981798
25 38 5.966497087981798
26 2 4.82279098778976
26 36 4.950802455858483
27 2 6.270436971421525
27 5 6.526459907558966
27 13 6.398448439490245
28 3 5.580476786964201
28 4 6.108014018375072
28 5 6.24834215020083
28 6 5.614148207407569
29 9 6.535965229234075
29 36 6.535965229234075
30 14 6.497805641939984
30 36 6.497805641939984
31 6 6.083480567800223
31 9 6.083480567800223
32 10 5.254413064627281
32 36 5.254413064627281
33 2 6.360190654234595
33 10 6.360190654234595
34 37 6.410615858203394
35 5 5.04771919337418
35 9 5.04771919337418
