id name
1 "O3"
2 "OH"
3 "CO"
4 "CH2O"
5 "CH3O2"
6 "HO2"
7 "CH3OOH"
8 "NO"
9 "H2O"
10 "NO2"
11 "DMS"
12 "SO2"
13 "ISOP"
14 "H2O2"
15 "CH4"
16 "Rxn: O3 + OH"
17 "Rxn: CO + OH"
18 "Rxn: CH2O + OH"
19 "Rxn: CH3O2 + HO2"
20 "Rxn: CH3OOH + OH"
21 "Rxn: CH3O2 + NO"
22 "Rxn: CH3O2 + CH3O2"
23 "Rxn: H2O + NO2"
24 "Rxn: DMS + OH"
25 "Rxn: OH + SO2"
26 "Rxn: HO2 + O3"
27 "Rxn: ISOP + OH"
28 "Rxn: ISOP + O3"
29 "Rxn: HO2 + OH"
30 "Rxn: HO2 + HO2"
31 "Rxn: H2O2 + OH"
32 "Rxn: NO + O3"
33 "Rxn: HO2 + NO"
34 "Rxn: NO2 + OH"
35 "Rxn: CH4 + OH"
36 "O2"
37 "HNO3"
38 "SO4"
